,display,address,x,y
140,소다 미술관,경기도 화성시 안녕동 138-109,127.00616129999999,37.201639799999995
141,소래습지생태공원,인천광역시 남동구 논현동 1-17,126.7475644,37.4134967
142,소울음 아트센터,경기도 안양시 만안구 안양동 452-3,126.9240183,37.391310600000004
143,손기정 기념관,서울특별시 중구 만리동2가 6-1,126.96468349999999,37.555796
144,수유전통시장,서울특별시 강북구 수유동 55-7,127.02316529999999,37.6314446
145,시흥 문원리 삼층석탑,경기도 과천시 갈현동,126.98532409999999,37.4226847
146,시흥 오이도 선사 유적 공원,경기도 시흥시 정왕동 924-13,126.69618559999999,37.3430687
147,신매시장,대구광역시 수성구 신매동 574-1,128.71011399999998,35.8381149
148,신장 전통시장,경기도 하남시 신장동 429-1,127.20639140000002,37.5380985
149,신트리공원,인천광역시 부평구 부평동 891,126.7264861,37.5064243
150,신포국제시장,인천광역시 중구 신포동 3-2,126.62722269999999,37.47142
151,신흥시장,경기도 부천시 삼정동 315,126.77089280000001,37.51560429999999
152,아트파라디소 파라다이스시티,인천광역시 중구 운서동 2874,126.45781869999999,37.43700850000001
153,안락꽃밭공원,부산광역시 동래구 안락동,129.112625,35.1910083
154,안심공원,대구광역시 동구 신기동,128.7025875,35.8694487
155,안양 중초사지 삼층석탑,경기도 안양시 만안구 석수동,126.9178554,37.4177544
156,안양박물관,경기도 안양시 만안구 석수동 212-1,126.9183078,37.4184
157,안중근의사 기념관,서울특별시 중구 남대문로5가 471,126.98036210000001,37.5534459
158,암사종합시장,서울특별시 강동구 암사동 501-17,127.12910409999999,37.5512009
159,양동시장,광주광역시 서구 양동 2-1,126.9016926,35.1535259
160,양산호수공원,광주광역시 북구 양산동 288-3,126.8724082,35.202965999999996
161,양주 시립 장욱진 미술관,경기도 양주시 장흥면 석현리 산1,126.9483414,37.7324894
162,양천향교,서울특별시 강서구 가양동 234,126.8398222,37.5730734
163,양화진 외국인 선교사 묘원,서울특별시 마포구 합정동 114-3,126.9111429,37.5467059
164,역사문화공원,경상북도 경산시 남산면 인흥리 247-1,128.79723059999998,35.8011892
165,연수체육공원,인천광역시 연수구 연수동,126.6857537,37.4089039
166,연지어린이공원,부산광역시 부산진구 연지동,129.0558013,35.1729725
167,영동전통시장,서울특별시 강남구 논현동 145-16,127.02399170000001,37.5091889
168,영등포중앙시장,서울특별시 영등포구 영등포동5가 18-1,126.90690500000001,37.520340000000004
169,영천시장,서울특별시 서대문구 영천동 323,126.9618156,37.5703008
