display,address,x,y,area,theme,img_id,img_url
정몽주 동상,서울특별시 마포구 합정동,126.9098362,37.5483921,서울특별시,역사,d92a9d27-bf90-4701-84ac-1f3af820abd7,정몽주 동상.jpg
덕수궁 대한문,서울특별시 중구 정동,126.9765162,37.5650354,서울특별시,역사,64298c31-a282-4d55-9a3b-a49565167538,덕수궁 대한문.jpg
창덕궁 인정문,서울특별시 종로구 와룡동,126.9911634,37.5788264,서울특별시,역사,54574690-f66a-43d1-b232-8d0953fbccbf,창덕궁 인정문.jpg
서울 암사동 유적,서울특별시 강동구 암사동 139-2,127.1303479,37.5606377,서울특별시,역사,4be508ff-1e04-4419-b49d-e7e9c86bdd5c,서울 암사동 유적.jpg
인왕사(서울),서울특별시 종로구 무악동 산2-16,126.9595479,37.57799979999999,서울특별시,역사,9e031ec8-cd74-4dec-9591-04f670027f78,인왕사(서울).jpg
경희궁 숭정전,서울특별시 종로구 신문로2가,126.968057,37.5714234,서울특별시,역사,39867bce-05e8-4b3b-97f6-8603154def46,경희궁 숭정전.jpg
송파나루공원(석촌호수),서울특별시 송파구 신천동 32,127.1037659,37.5117815,서울특별시,자연,ad0f4c87-1968-4b48-990a-ad1e7e1c8d9b,송파나루공원(석촌호수).jpg
아차산,경기도 구리시 아천동,127.1027414,37.5668454,서울특별시,자연,58129cb5-f74f-43b5-8cc6-f8a4a5cd02eb,아차산.jpg
불암산,서울특별시 노원구 상계동,127.09527140000002,37.6636719,서울특별시,자연,20162b52-0894-432d-9790-6bcaab71fc10,불암산.jpg
백사실계곡,서울특별시 종로구 부암동 115,126.9666626,37.60079879999999,서울특별시,자연,edca2878-3371-4e97-9080-c7d79ed9e718,백사실계곡.jpg
홍릉수목원,서울특별시 동대문구 청량리동 207,127.0439361,37.5933922,서울특별시,자연,b841e19f-7005-45da-a226-69ef518bca24,홍릉수목원.jpg
여의도샛강생태공원,서울특별시 영등포구 여의도동 49,126.92270320000002,37.5177414,서울특별시,자연,d9f1d013-78a6-4555-97aa-c188d5f7bd81,여의도샛강생태공원.jpg
남산 야외식물원,서울특별시 용산구 이태원2동 258-148,126.99545790000002,37.5427636,서울특별시,자연,6d31e5b2-b0b6-4576-98c7-8e4999db170c,남산 야외식물원.jpg
북한산국립공원(서울),서울특별시 성북구 정릉동,127.000938,37.624549,서울특별시,자연,c39c1522-fdbd-4e98-9f9a-59874fc8fbf6,북한산국립공원(서울).jpg
배봉산,서울특별시 동대문구 휘경2동 배봉산,127.0639375,37.5810807,서울특별시,자연,21267e13-873f-4781-b7a2-c834a360ba6c,배봉산.jpg
남산 케이블카,서울특별시 중구 회현동1가 산1-19,126.9840884,37.5569427,서울특별시,자연,026232b7-522b-4164-a9f5-286903f059ca,남산 케이블카.jpg
진관사계곡,서울특별시 은평구 진관동,126.94957759999998,37.6354052,서울특별시,자연,c8480f8a-c3e7-4bdf-b246-cdd118a6abf2,진관사계곡.jpg
안산,경기도 안산시 단원구 고잔동 515,126.8308176,37.3219123,서울특별시,자연,a869b13e-9d7e-4f98-9e54-ecc1dcf460d3,안산.jpg
관악산공원 야외식물원,서울특별시 관악구 신림동,126.94811090000002,37.4610839,서울특별시,자연,7704e9ca-999d-407c-bd7a-cb2f108ef1d6,관악산공원 야외식물원.jpg
서울창포원,서울특별시 도봉구 도봉동 4-1,127.0479047,37.6895404,서울특별시,자연,1df38719-f966-41f2-aae6-928ab88024a6,서울창포원.jpg
구룡산(서울),서울특별시 서초구 염곡동,127.0485832,37.462245,서울특별시,자연,04aec3f9-a7db-49fe-aebf-717678607da7,구룡산(서울).jpg
관악산,경기도 과천시 중앙동,126.96412990000002,37.445208,서울특별시,자연,f18b0c4f-fd2e-4d35-9b80-2f1d7e242da9,관악산.jpg
응봉산(서울),서울특별시 성동구 응봉동 응봉산,127.029725,37.5478269,서울특별시,자연,c295de52-0267-4b56-9eec-d8d86846e6df,응봉산(서울).jpg
반포 서래섬,서울특별시 서초구 반포동,126.989497,37.5078864,서울특별시,자연,be9ba17c-9000-49b5-b2df-efd29fa511cb,반포 서래섬.jpg
봉화산(서울),서울특별시 중랑구 신내동 643-1,127.0913316,37.6173717,서울특별시,자연,e7096905-fe11-40e2-bdf5-859d1a9972a1,봉화산(서울).jpg
여의천,서울특별시 서초구 양재동,127.0378986,37.47124270000001,서울특별시,자연,8415915f-8ea1-4e3c-8b4c-50c07e7f78ff,여의천.jpg
도봉산,서울특별시 도봉구 도봉동,127.0154918,37.6988562,서울특별시,자연,656006bb-0e2f-4ac4-a78d-de4418c2dc37,도봉산.jpg
양재 시민의숲,서울특별시 서초구 양재동 236,127.0350419,37.4712249,서울특별시,자연,6342c86f-8602-4948-9b84-d2cd438c098a,양재 시민의숲.jpg
아차산생태공원,서울특별시 광진구 광장동 370-2 아차산 생태공원,127.1010031,37.551714200000006,서울특별시,자연,9ed3d3ab-2e71-47ab-a9b6-76245ad335ea,아차산생태공원.jpg
파리공원,서울특별시 양천구 목동 906,126.8763932,37.5349739,서울특별시,자연,547d7aed-70d1-45e6-91e6-7ee89ed1c307,파리공원.jpg
암사생태공원,서울특별시 강동구 암사동 616-1,127.12195,37.5543583,서울특별시,자연,bdcbf512-d547-4110-8c0b-e8df214a3567,암사생태공원.jpg
청계산,경기도 과천시 막계동,127.0424726,37.4224346,서울특별시,자연,80aacf9f-d720-4215-a6d2-3c39ab08f401,청계산.jpg
수락산,서울특별시 노원구 상계동,127.0813633,37.699232,서울특별시,자연,1621b545-ceca-433f-8a1f-6e9db29b8b36,수락산.jpg
